destinastario,local,valor,tipo
Santa Casa da Misericórdia Porto,"R. das Flores 15, 40500542 Porto",20000,Santa Casa
"Irmandade da Nossa Senhora do Terço e Caridade",0,10000,Irmandade
"Ordem Terceira da Santíssima Trindade",,10000,Ordem
Ordem Terceira de São Francisco,,10000,Ordem
"À Santa Casa da Misericórdia do Rio de Janeiro","R. Santa Luzia, 206 - Centro, Rio de Janeiro - RJ, 200200022, Brasil",10000,Santa Casa
"Ordem Terceira da Nossa Senhora do Carmo",,10000,Ordem
"Lázaro e Lázara Entrevada e Velhas Asiladas",0,1000,Lázaros
Asilo da Mendicidade,"Fontainhas, Porto",1000,Asilo
Asilo do Barão da Nova Cintra,0,1000,Asilo
"A cada um dos recolhimentos de meninos e meninas desamparadas",0,500,Recolhimento
"Colégio dos Meninos Órfãos de Nossa Senhora da Graça","Largo do Padre Baltasar Guedes 248, 43000059 Porto",500,Colégio
Associação Protetora da Creche,0,500,Associação
Irmandade dos Clérigos Pobres,0,500,Irmandade
"Irmandade de Nossa Senhora da Lapa",0,500,Irmandade
Asilo de Detenção dos Rapazes,0,500,Asilo
"Asilo do Barão da Nova Mulheres Sito no Aljube",0,500,Asilo
"A cada Paróquia de Campanhã e Bonfim",0,500,Paroquia
Recolhimento das Velhas,0,500,Recolhimento
Asilo da Infância Desvalida,0,250,Asilo
Esmolas Avultadas,0,0,Esmola
"Dotes de Casamento a 80 raparigas",0,0,Dotes
